Name;Desc;Img;Group
Крем «Козье масло»; Масло из молока швейцарских коз в сочетании с натуральными и эфирными маслами оказываетрасслабляющее и успокаивающее действие. стимулирующий эффект, дают чувство приятной теплоты и снижают напряжение в мышцах. Арт. I 145, емк. 50 г  Наносить по необходимости несколько раз в день, слегка втирая. Действует до 10 часов.  <br><b> Пчелиный воск </b> Применяется в качестве структурообразующего средства с защитными свойствами.  <br><b> Камфара </b> Применяется в качестве обезболивающего, противовоспалительного средства.  <br><b> Масло арахисовое </b> Арахисовое масло часто применяют наружно для лечения экзем, труднозаживающих и гноящихся ран, экссудативного диатеза и герпеса.  <br><b> Масло подсолнечника </b> Способствует эпителизации ран, оказывает бактериостатическое действие в отношении золотистого и белого стафилококка.  <br><b> Токоферил ацетат </b> Антиоксидант.<br> <br> Замедляет старение кожи, стимулирует кожное дыхание и кровообращение, увлажняет и питает кожу, снимает воспаление и раздражение.  <br><b> Эфирное масло можжевельника </b> Хронический бронхит, туберкулез легких,&nbsp,подагра, суставной ревматизм, артриты, люмбаго, невралгии, радикулиты,&nbsp,грипп, ОРЗ, аденовирусная инфекция, простатит, цистит, гепатит, холецистит, аллергия, аллергические дерматозы – псориаз, мокнущая экзема, бессонница, травмы головного и спинного мозга, хроническая интоксикация вредными химическими веществами, малые радиационные воздействия.  <br><b> Эфирное масло розмарина </b> Омолаживает кожу, способствуя обновлению клеток.  <br><b> Масло сладкого миндаля </b> Содержит витамин Е, который является природным антиоксидантом. Замедляет старение клеток и устраняет воспалительные процессы на коже.  <br><b> Эфирное масло тимьяна </b> Предназначено для проблемных типов кожи, а также для ежедневного ухода за жирной кожей, нуждающейся в активном антибактериальном компоненте.  <br><b> Масло (жир) из молока горных коз </b> Обладают потрясающим целебным и косметическим эффектом, полностью восстанавливая здоровье и функциональную активность клеток кожи.  <hr/> ;794bbaf463eda3bd9572c2a9a06820ac.png;Линия «Ухоженное тело»
Пенка для душа «ВИВАДЕРМ»; Эта изысканная пенка не только особенно деликатно очистит вашу кожу, но и даст ей ощущение приятной мягкости. Увлажнит и успокоит сухую, раздраженную и чувствительную кожу. Подходит для кожи тела и головы, а также для снятия макияжа.Арт. I 330, емк. 200 мл  Выдавить на ладонь небольшое количество пенки, распределить по всему телу. Смыть теплой водой. При сухой коже рекомендуется после мытья нанести крем или молочко ВИВАДЕРМ. Без лаурил сульфата натрия и синтетических консервантов.  <br><b> Аллантоин </b> Эффективно предупреждает закупорку пор, образование комедонов (черных точек) и воспалительных элементов. <br> <br> Оказывает выраженное регенерирующее действие, стимулирует заживление кожного покрова, увлажняет кожу, стимулирует процесс обновления клеток эпидермиса. Не токсичен.  <br><b> Пантенол </b> Витамин-протектор кожи и волос.  <br><b> Экстракт магонии </b> оказывает противовоспалительное действие  <hr/> ;5feb9735a91523e64250b2c528ec2dcf.png;Линия «Ухоженное тело»
Увлажняющий крем «ВИВАДЕРМ»; Гипоаллергенный крем с дермамембранной структурой, мочевиной и керамидами разработан для ухода за нормальной, сухой и чувствительной кожей с достижением эффекта быстрого увлажнения и защиты.Специальные компоненты обеспечивают длительное сохранение влаги в коже, поддерживают естественные защитные свойства ее гидролипидной пленки, оставляя замечательное чувство гладкости и мягкости.Арт. I 331, емк. 100 мл  Нанести на очищенную кожу лица и тела, слегка массируя до полного впитывания.  <br><b> Пчелиный воск </b> Применяется в качестве структурообразующего средства с защитными свойствами.  <br><b> Глицерин </b> Применяется в качестве смягчающего и увлажняющего агента.  <br><b> Керамиды-3 </b> Применяются качестве средства, укрепляющего кожу, препятствуют образованию морщин.  <br><b> Карбамид (мочевина) </b> Используют в качестве консерванта и увлажняющего агента.  <br><b> Сквален </b> Применяется в качестве средства, повышающего барьерные функции кожи.  <br><b> Масло ши (масло карите) </b> Воздействует на синтез коллагена, делая кожу упругой и эластичной, защищает кожу от климатических воздействий и УФ-излучения.  <hr/> ;b06f082a1b7300ad8df9cb032946c082.png;Линия «Ухоженное тело»
Молочко для тела «ВИВАДЕРМ»; Питательное ламеллярное молочко с дерма-мебранной структурой легко проникает в кожу, а специальные агенты и мочевина обеспечивают длительное и стойкое увлажнение, поддерживая оптимальный уровень гидролипидного баланса. <br> <br> Наличие витаминов и масел обеспечивает быструю регенерацию клеток, уход и защиту даже очень сухой кожи.<br> <br> Арт. I 332 емк. 200 мл  После каждого купания нанесите необходимое количество молочка на кожу и нежно вотрите.<br> <br> Легко впитывается, не оставляя жирного блеска.  <br><b> Витамин E </b> <p> Укрепляет мембраны клеток, замедляет старение кожи, стимулирует кожное дыхание и кровообращение, увлажняет и питает кожу, снимает воспаление и раздражение. </p> <p> Для линий БАД и «Здоровое питание» </i>Оказывает выраженное антиоксидантное действие, предупреждает старение организма, нормализует гормональную деятельность и у женщин и у мужчин. </p>  <br><b> Керамиды-3 </b> Применяются качестве средства, укрепляющего кожу, препятствуют образованию морщин.  <br><b> Лецитин </b> Эмульгатор.  <br><b> Карбамид (мочевина) </b> Используют в качестве консерванта и увлажняющего агента.  <br><b> Пантенол </b> Витамин-протектор кожи и волос.  <br><b> Сквален </b> Применяется в качестве средства, повышающего барьерные функции кожи.  <br><b> Масло ши (масло карите) </b> Воздействует на синтез коллагена, делая кожу упругой и эластичной, защищает кожу от климатических воздействий и УФ-излучения.  <br><b> Масло макадамского ореха </b> Устраняет покраснение, шелушение и раздражение кожи, защищает от солнечных лучей.  <br><b> Витамин В 5 (пантотеновая кислота) </b> Обладает заживляющим и увлажняющим действием, улучшает кровообращение в коже.&nbsp,Защищает кожу от УФ лучей и препятствует её старению.<br> <br> <br> Участвует в обменных процессах белков, жиров и углеводов и обеспечивает&nbsp,регулирующее влияние на обмен в коже.  <br><b> Витамин C </b> Имеет непосредственное отношение к укреплению защитных сил организма, повышает жизненный тонус, нормализует проницаемость сосудов.<br> <br> Защищает от свободных радикалов, сильный антиоксидант.<br> Для линии БАД Участвует в синтезе коллагена, стероидных гормонов и катехоламинов, укрепляет сосуды.<br> <br>  <br><b> Пептид папаин </b> Способствуют укреплению контуров лица, повышению общего тонуса кожи, укреплению коллагеновых волокон.  <br><b> Аминокислоты </b> Аминокислоты, включаемые в косметические препараты, улучшают водный и белковый баланс кожи, способствуют оздоровлению и биостимуляции клеток кожи.<br> <br> Аминокислоты входят в состав натурального увлажняющего фактора.  <hr/> ;2b29bdda980a85431b1231d2e5d0a2fe.png;Линия «Ухоженное тело»
Масло для душа «Аргана»; Изысканное средство для душа на основе масел арганы, миндаля, подсолнечника с витамином Е мягко очищает и глубоко увлажняет.После применения нет необходимости в дополнительном уходе за кожей, поскольку масло уже позаботилось об этом. Прекрасно подходит для снятия макияжа.Арт. I 336, емк. 200 мл  См. Применение масел.  <br><b> Масло аргании </b> Смягчающий и питающий агент.  <br><b> Масло подсолнечника </b> Способствует эпителизации ран, оказывает бактериостатическое действие в отношении золотистого и белого стафилококка.  <br><b> Токоферил ацетат </b> Антиоксидант.<br> <br> Замедляет старение кожи, стимулирует кожное дыхание и кровообращение, увлажняет и питает кожу, снимает воспаление и раздражение.  <br><b> Токоферола ацетат </b> Применяют как антиоксидант, при бесплодии и угрозе выкидышей, при сердечно-сосудистых заболеваниях и в качестве средства для профилактики старения.<br> <br> Замедляет старение кожи, стимулирует кожное дыхание и кровообращение, увлажняет и питает кожу, снимает воспаление и раздражение.<br>  <br><b> Масло сладкого миндаля </b> Содержит витамин Е, который является природным антиоксидантом. Замедляет старение клеток и устраняет воспалительные процессы на коже.  <br><b> Пальмовое масло </b> Прекрасно увлажняет кожу, активизирует липидный обмен в коже, тонизирует и смягчает кожу.<br> <br> <br> Сильный антиоксидант.  <hr/> ;2cf67161dd4a7f70813a82d89cc618fe.png;Линия «Ухоженное тело»
Крем для тела «Аргана»; Крем, обогащенный маслами и витаминами.<br> <br> Увлажняет и успокаивает, восстанавливает упругость и придает чувство мягкости и комфорта, не оставляя при этом жирных следов на одежде.<br> <br> Масла защищают от раздражения и обезвоживания, а витамин Е предохраняет от преждевременного старения.<br> <br> Арт. I 337, емк. 200 мл  Рекомендуем наносить после&nbsp,купания легкими массирующими движениями.  <br><b> Пчелиный воск </b> Применяется в качестве структурообразующего средства с защитными свойствами.  <br><b> Глицерин </b> Применяется в качестве смягчающего и увлажняющего агента.  <br><b> Масло аргании </b> Смягчающий и питающий агент.  <br><b> Пантенол </b> Витамин-протектор кожи и волос.  <br><b> Токоферил ацетат </b> Антиоксидант.<br> <br> Замедляет старение кожи, стимулирует кожное дыхание и кровообращение, увлажняет и питает кожу, снимает воспаление и раздражение.  <br><b> Масло сладкого миндаля </b> Содержит витамин Е, который является природным антиоксидантом. Замедляет старение клеток и устраняет воспалительные процессы на коже.  <hr/> ;16015eca028b2441d052a22ebc58f4d9.png;Линия «Ухоженное тело»
Функциональное масло для кожи «Аргана»; Входящие в состав натуральные масло аргании, оливы, сои и витамин Е обеспечивают защиту и регенерацию кожи, смягчают и насыщают витаминами, повышая ее тонус и эластичность.Наполненная влагой и питанием кожа становится шелковистой. Особенно эффективно для ухода за усталой. зрелой кожей.Арт. I 338, емк. 200 мл  После ванной или душа нанести необходимое количество масла на кожу и растереть легкими круговыми движениями. Подходит для массажа и ежедневного ухода.  <br><b> Масло аргании </b> Смягчающий и питающий агент.  <br><b> Токоферола ацетат </b> Применяют как антиоксидант, при бесплодии и угрозе выкидышей, при сердечно-сосудистых заболеваниях и в качестве средства для профилактики старения.<br> <br> Замедляет старение кожи, стимулирует кожное дыхание и кровообращение, увлажняет и питает кожу, снимает воспаление и раздражение.<br>  <br><b> Оливковое масло </b> Оливки укрепляют костную ткань в организме человека. Ведь именно кальций, содержащийся в оливках, поддерживает костную ткань.<br> <br> Оливковое масло способно бороться с раком груди.<br>  <br><b> Масло соевых бобов </b> Предупреждает процессы повышенного ороговения клеток, способствует заживлению кожи при псориазе и других аллергических дерматозах.<br> <br> <br> Полезно при заболевании почек, нервной системы, повышает иммунитет, улучшает работу кишечника, являясь мощным антихолестериновым фактором, предупреждает развитие атеросклероза.  <br><b> Пальмовое масло </b> Прекрасно увлажняет кожу, активизирует липидный обмен в коже, тонизирует и смягчает кожу.<br> <br> <br> Сильный антиоксидант.  <hr/> ;3390c2c56a96a644782ea12faf4ae4f6.png;Линия «Ухоженное тело»
Бальзам для губ «Аргана»; Жирный бальзам с маслами арганы, ши и какао, медом и витамином Е наполнит кожу ваших губ влагой и питанием. Губы будут защищены от обезвоживания и агрессивных факторов внешней среды.Обеспечивает УФ-защиту.Арт. I 339, емк. 10 мл  Наносить по необходимости несколько раз в день.С помощью специальной насадки на тюбике распределить по всей поверхности губ.  <br><b> Пчелиный воск </b> Применяется в качестве структурообразующего средства с защитными свойствами.  <br><b> Масло аргании </b> Смягчающий и питающий агент.  <br><b> Масло ланолиновое </b> Играет роль проводника полезных веществ, питает кожу, придает ей неповторимый эффект бархатистости.  <br><b> Мед </b> Мед может быть использован в качестве лечебного средства при многих заболеваниях пищеварительного тракта, особенно при язвенной болезни желудка и двенадцатиперстной кишки, хроническом гастрите с повышенной и пониженной кислотностью. Мед, наряду с его полезностью, является и альтернативным подсластителем.  <br><b> Токоферил ацетат </b> Антиоксидант.<br> <br> Замедляет старение кожи, стимулирует кожное дыхание и кровообращение, увлажняет и питает кожу, снимает воспаление и раздражение.  <br><b> Масло ши (масло карите) </b> Воздействует на синтез коллагена, делая кожу упругой и эластичной, защищает кожу от климатических воздействий и УФ-излучения.  <hr/> ;c44759f426091510efe335443e9af7bb.png;Линия «Ухоженное тело»
Крем для рук и ногтей «Аргана»; Нежная консистенция крема для рук и ногтей, содержащая масла и витамины.<br> <br> Превосходно впитывается, придавая вашей коже чувство мягкости и защищенности.<br> <br> Активные ингредиенты предотвращают преждевременное старение, улучшают внешний вид, одновременно обеспечивая специальный уход ногтям и кутикулам.<br> <br> Арт. I 340, емк. 50 мл  Применять после каждого мытья рук.  <br><b> Витамин E </b> <p> Укрепляет мембраны клеток, замедляет старение кожи, стимулирует кожное дыхание и кровообращение, увлажняет и питает кожу, снимает воспаление и раздражение. </p> <p> Для линий БАД и «Здоровое питание» </i>Оказывает выраженное антиоксидантное действие, предупреждает старение организма, нормализует гормональную деятельность и у женщин и у мужчин. </p>  <br><b> Глицерин </b> Применяется в качестве смягчающего и увлажняющего агента.  <br><b> Масло аргании </b> Смягчающий и питающий агент.  <br><b> Пантенол </b> Витамин-протектор кожи и волос.  <br><b> Экстракт гамамелиса </b> Используется при пролежнях, ушибах, синяках, экземе, укусах насекомых, геморрое, боли в мышцах, опухолях, псориазе, потрескавшейся и шелушащейся коже, потнице, обветренной коже и солнечных ожогах.  <br><b> Масло сладкого миндаля </b> Содержит витамин Е, который является природным антиоксидантом. Замедляет старение клеток и устраняет воспалительные процессы на коже.  <hr/> ;e3de67f8b0557353e0f930860d49a223.png;Линия «Ухоженное тело»
Крем «Жожоба»; Крем для интенсивного ухода за чрезвычайно сухой кожей лица и тела.Надолго увлажняет, успокаивает и смягчает кожу, снимая раздражения. Образует тончайший защитный слой, удерживающий влагу и позволяющий восстановить естественный гидролипидный баланс.Можно использовать для ухода за любым типом кожи, даже за кожей младенцев.Арт. I 780, емк. 100 мл  Нанести и слегка вмассировать в сухие&nbsp,участки кожи лица и тела, для защиты от холода – за &nbsp,20 минут до выхода на улицу.Можно использовать в качестве ночного крема.  <br><b> Пчелиный воск </b> Применяется в качестве структурообразующего средства с защитными свойствами.  <br><b> Аллантоин </b> Эффективно предупреждает закупорку пор, образование комедонов (черных точек) и воспалительных элементов. <br> <br> Оказывает выраженное регенерирующее действие, стимулирует заживление кожного покрова, увлажняет кожу, стимулирует процесс обновления клеток эпидермиса. Не токсичен.  <br><b> Витамин E </b> <p> Укрепляет мембраны клеток, замедляет старение кожи, стимулирует кожное дыхание и кровообращение, увлажняет и питает кожу, снимает воспаление и раздражение. </p> <p> Для линий БАД и «Здоровое питание» </i>Оказывает выраженное антиоксидантное действие, предупреждает старение организма, нормализует гормональную деятельность и у женщин и у мужчин. </p>  <br><b> Глицерин </b> Применяется в качестве смягчающего и увлажняющего агента.  <br><b> Масло жожоба </b> Применяется при обезвоженной, утомленной, дряблой коже, морщинах, снижению упругости, акне, тусклом, неровном цвете лица, чувствительной, склонная к раздражению коже, для приема солнечных ванн, ухода за сухими, ломкими волосами, а также при экземе, псориазе, дерматитах, нейродермите и для ухода за кожей младенцев.  <br><b> Пантенол </b> Витамин-протектор кожи и волос.  <br><b> Экстракт арники </b> Оказывает противовоспалительное действие.  <hr/> ;151fd96288a0cfa0803f84efca146436.png;Линия «Ухоженное тело»
